#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.563562E-01   0.482585E+07   0.480073E+07  -0.362006E+02  -0.369181E+02   0.855137E+06   0.480403E+07   0.482190E+07   0.480403E+07  -0.114763E+00   0.253929E+07   0.253902E+07   0.159937E+01
   0.606913E-01   0.454073E+07   0.452065E+07  -0.293798E+02  -0.299620E+02   0.738764E+06   0.452045E+07   0.453757E+07   0.452045E+07  -0.107989E+00   0.238947E+07   0.238925E+07   0.122062E+01
   0.650264E-01   0.428717E+07   0.427092E+07  -0.241712E+02  -0.246500E+02   0.642887E+06   0.426820E+07   0.428462E+07   0.426820E+07  -0.101963E+00   0.225619E+07   0.225600E+07   0.960715E+00
   0.693615E-01   0.404894E+07   0.403511E+07  -0.200686E+02  -0.204661E+02   0.561570E+06   0.403106E+07   0.404677E+07   0.403106E+07  -0.962978E-01   0.213089E+07   0.213072E+07   0.800958E+00
   0.736966E-01   0.381408E+07   0.380128E+07  -0.167489E+02  -0.170806E+02   0.490829E+06   0.379710E+07   0.381207E+07   0.379710E+07  -0.907087E-01   0.200726E+07   0.200710E+07   0.717142E+00
   0.780317E-01   0.357894E+07   0.356604E+07  -0.140204E+02  -0.142980E+02   0.428593E+06   0.356273E+07   0.357692E+07   0.356273E+07  -0.851098E-01   0.188340E+07   0.188324E+07   0.683636E+00
   0.823668E-01   0.334662E+07   0.333286E+07  -0.117675E+02  -0.120004E+02   0.373953E+06   0.333107E+07   0.334446E+07   0.333107E+07  -0.795759E-01   0.176097E+07   0.176081E+07   0.676555E+00
   0.867019E-01   0.312351E+07   0.310860E+07  -0.991255E+01  -0.101087E+02   0.326485E+06   0.310858E+07   0.312117E+07   0.310858E+07  -0.742606E-01   0.164338E+07   0.164320E+07   0.676164E+00
   0.910370E-01   0.291581E+07   0.289986E+07  -0.839332E+01  -0.855942E+01   0.285765E+06   0.290146E+07   0.291331E+07   0.290146E+07  -0.693129E-01   0.153391E+07   0.153373E+07   0.668336E+00
   0.964252E-01   0.268633E+07   0.266970E+07  -0.689292E+01  -0.702930E+01   0.243760E+06   0.267272E+07   0.268372E+07   0.267272E+07  -0.638484E-01   0.141301E+07   0.141282E+07   0.636789E+00
   0.101813E+00   0.249436E+07   0.247804E+07  -0.574123E+01  -0.585481E+01   0.210228E+06   0.248152E+07   0.249180E+07   0.248152E+07  -0.592808E-01   0.131195E+07   0.131177E+07   0.578769E+00
   0.107202E+00   0.234137E+07   0.232630E+07  -0.486152E+01  -0.495769E+01   0.183821E+06   0.232929E+07   0.233900E+07   0.232929E+07  -0.556442E-01   0.123148E+07   0.123132E+07   0.501295E+00
   0.112590E+00   0.222194E+07   0.220878E+07  -0.418320E+01  -0.426594E+01   0.162938E+06   0.221060E+07   0.221987E+07   0.221060E+07  -0.528089E-01   0.116874E+07   0.116860E+07   0.416580E+00
   0.117978E+00   0.212536E+07   0.211435E+07  -0.364489E+01  -0.371698E+01   0.145935E+06   0.211472E+07   0.212363E+07   0.211472E+07  -0.505184E-01   0.111806E+07   0.111794E+07   0.337315E+00
   0.123366E+00   0.203982E+07   0.203075E+07  -0.319985E+01  -0.326313E+01   0.131442E+06   0.202980E+07   0.203840E+07   0.202980E+07  -0.484899E-01   0.107317E+07   0.107307E+07   0.273183E+00
   0.128754E+00   0.195591E+07   0.194823E+07  -0.281719E+01  -0.287290E+01   0.118525E+06   0.194643E+07   0.195471E+07   0.194643E+07  -0.464982E-01   0.102910E+07   0.102901E+07   0.228996E+00
   0.134143E+00   0.186827E+07   0.186130E+07  -0.247934E+01  -0.252837E+01   0.106671E+06   0.185924E+07   0.186717E+07   0.185924E+07  -0.444153E-01   0.983010E+06   0.982928E+06   0.204479E+00
   0.139531E+00   0.177573E+07   0.176884E+07  -0.217814E+01  -0.222121E+01   0.956984E+05   0.176708E+07   0.177465E+07   0.176708E+07  -0.422137E-01   0.934292E+06   0.934210E+06   0.195352E+00
   0.144919E+00   0.168032E+07   0.167308E+07  -0.191069E+01  -0.194847E+01   0.856191E+05   0.167200E+07   0.167918E+07   0.167200E+07  -0.399423E-01   0.884027E+06   0.883942E+06   0.195171E+00
   0.150307E+00   0.158584E+07   0.157807E+07  -0.167625E+01  -0.170939E+01   0.765209E+05   0.157783E+07   0.158462E+07   0.157783E+07  -0.376926E-01   0.834243E+06   0.834154E+06   0.197301E+00
   0.155695E+00   0.149696E+07   0.148876E+07  -0.147464E+01  -0.150379E+01   0.685071E+05   0.148924E+07   0.149567E+07   0.148924E+07  -0.355764E-01   0.787412E+06   0.787320E+06   0.196541E+00
   0.161084E+00   0.141813E+07   0.140977E+07  -0.130507E+01  -0.133087E+01   0.616425E+05   0.141071E+07   0.141682E+07   0.141071E+07  -0.337004E-01   0.745896E+06   0.745804E+06   0.190026E+00
   0.166472E+00   0.135191E+07   0.134374E+07  -0.116492E+01  -0.118794E+01   0.558927E+05   0.134479E+07   0.135062E+07   0.134479E+07  -0.321256E-01   0.711043E+06   0.710955E+06   0.177346E+00
   0.171860E+00   0.129783E+07   0.129019E+07  -0.104935E+01  -0.107009E+01   0.511032E+05   0.129101E+07   0.129663E+07   0.129101E+07  -0.308409E-01   0.682612E+06   0.682530E+06   0.160028E+00
   0.177248E+00   0.125313E+07   0.124624E+07  -0.952631E+00  -0.971459E+00   0.470539E+05   0.124662E+07   0.125205E+07   0.124662E+07  -0.297804E-01   0.659143E+06   0.659068E+06   0.140713E+00
   0.182636E+00   0.121439E+07   0.120830E+07  -0.869595E+00  -0.886782E+00   0.435346E+05   0.120816E+07   0.121344E+07   0.120816E+07  -0.288618E-01   0.638811E+06   0.638744E+06   0.122240E+00
   0.188025E+00   0.117829E+07   0.117290E+07  -0.796146E+00  -0.811881E+00   0.403715E+05   0.117232E+07   0.117744E+07   0.117232E+07  -0.280054E-01   0.619858E+06   0.619798E+06   0.106873E+00
   0.193413E+00   0.114190E+07   0.113702E+07  -0.729220E+00  -0.743632E+00   0.374322E+05   0.113616E+07   0.114114E+07   0.113616E+07  -0.271417E-01   0.600743E+06   0.600687E+06   0.958253E-01
   0.198801E+00   0.110334E+07   0.109873E+07  -0.666947E+00  -0.680128E+00   0.346368E+05   0.109781E+07   0.110262E+07   0.109781E+07  -0.262254E-01   0.580465E+06   0.580412E+06   0.891573E-01
   0.204189E+00   0.106236E+07   0.105780E+07  -0.608734E+00  -0.620764E+00   0.319672E+05   0.105700E+07   0.106164E+07   0.105700E+07  -0.252506E-01   0.558890E+06   0.558838E+06   0.859938E-01
   0.209577E+00   0.102010E+07   0.101544E+07  -0.554847E+00  -0.565812E+00   0.294490E+05   0.101491E+07   0.101937E+07   0.101491E+07  -0.242451E-01   0.536638E+06   0.536584E+06   0.849184E-01
   0.214965E+00   0.978358E+06   0.973545E+06  -0.505787E+00  -0.515782E+00   0.271198E+05   0.973318E+06   0.977602E+06   0.973318E+06  -0.232515E-01   0.514648E+06   0.514593E+06   0.844134E-01
   0.220354E+00   0.938869E+06   0.933938E+06  -0.461915E+00  -0.471043E+00   0.250102E+05   0.933979E+06   0.938094E+06   0.933979E+06  -0.223118E-01   0.493849E+06   0.493794E+06   0.832385E-01
